COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Kirtland's Warbler,Setophaga kirtlandii,Passeriformes,Parulidae (New World Warblers),Dendroica_kirtlandii,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
California Towhee,Melozone crissalis,Passeriformes,Passerellidae (New World Sparrows),Pipilo_crissalis,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Elegant Tern,Thalasseus elegans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_elegans,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Lawrence's Goldfinch,Spinus lawrencei,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_lawrencei,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Mitred Parakeet,Psittacara mitratus,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_mitrata,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Nuttall's Woodpecker,Dryobates nuttallii,Piciformes,Picidae (Woodpeckers),Picoides_nuttallii,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Clapper Rail,Rallus crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus_longirostris,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Gull-billed Tern,Gelochelidon nilotica,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_nilotica,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Sandwich Tern,Thalasseus sandvicensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_sandvicensis,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Seaside Sparrow,Ammospiza maritima,Passeriformes,Passerellidae (New World Sparrows),Ammodramus_maritimus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Sooty Tern,Onychoprion fuscatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_fuscata,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Black-headed Gull,Chroicocephalus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_ridibundus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chen_canagica,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Yellow-fronted Canary,Crithagra mozambica,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Serinus_mozambicus,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Nanday Parakeet,Aratinga nenday,Psittaciformes,Psittacidae (New World and African Parrots),Nandayus_nenday,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Saltmarsh Sparrow,Ammospiza caudacuta,Passeriformes,Passerellidae (New World Sparrows),Ammodramus_caudacutus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Boreal Chickadee,Poecile hudsonicus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Parus_hudsonicus,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Golden-cheeked Warbler,Setophaga chrysoparia,Passeriformes,Parulidae (New World Warblers),Dendroica_chrysoparia,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Green Parakeet,Psittacara holochlorus,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_holochlora,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Tropical Parula,Setophaga pitiayumi,Passeriformes,Parulidae (New World Warblers),Parula_pitiayumi,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Spotted Dove,Streptopelia chinensis,Columbiformes,Columbidae (Pigeons and Doves),Stigmatopelia_chinensis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Spruce Grouse,Falcipennis canadensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Dendragapus_canadensis,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
White-headed Woodpecker,Dryobates albolarvatus,Piciformes,Picidae (Woodpeckers),Picoides_albolarvatus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Abert's Towhee,Melozone aberti,Passeriformes,Passerellidae (New World Sparrows),Pipilo_aberti,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Botteri's Sparrow,Peucaea botterii,Passeriformes,Passerellidae (New World Sparrows),Aimophila_botterii,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Rufous-winged Sparrow,Peucaea carpalis,Passeriformes,Passerellidae (New World Sparrows),Aimophila_carpalis,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Mexican Jay,Aphelocoma wollweberi,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Aphelocoma_ultramarina,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Red-masked Parakeet,Psittacara erythrogenys,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_erythrogenys,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Garganey,Spatula querquedula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_querquedula,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Blue-crowned Parakeet,Thectocercus acuticaudatus,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_acuticaudata,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Bridled Tern,Onychoprion anaethetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_anaethetus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Baird's Sparrow,Centronyx bairdii,Passeriformes,Passerellidae (New World Sparrows),Ammodramus_bairdii,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Laughing Dove,Streptopelia senegalensis,Columbiformes,Columbidae (Pigeons and Doves),Stigmatopelia_senegalensis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Aztec Thrush,Ridgwayia pinicola,Passeriformes,Turdidae (Thrushes and Allies),Zoothera_pinicola,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Roadside Hawk,Rupornis magnirostris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_magnirostris,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Crimson-fronted Parakeet,Psittacara finschi,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_finschi,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Hottentot Teal,Spatula hottentota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_hottentota,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Scarlet-fronted Parakeet,Psittacara wagleri,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_wagleri,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
White-eyed Parakeet,Psittacara leucophthalmus,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_leucophthalma,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Baikal Teal,Sibirionetta formosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_formosa,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Orange-fronted Parakeet,Eupsittula canicularis,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga_canicularis,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
European Greenfinch,Chloris chloris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_chloris,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Arizona Woodpecker,Dryobates arizonae,Piciformes,Picidae (Woodpeckers),Picoides_arizonae,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Sinaloa Wren,Thryophilus sinaloa,Passeriformes,Troglodytidae (Wrens),Thryothorus_sinaloa,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Lemon Dove,Columba larvata,Columbiformes,Columbidae (Pigeons and Doves),Aplopelia_larvata,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_autumnalis,BL3,Dendrocygninae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Black-crowned Night-Heron,Nycticorax nycticorax,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Nycticorax_nycticorax,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Blue-gray Gnatcatcher,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers),Polioptila_caerulea,BL3,M1,Polioptilidae,Gnatcatchers,172,PASSERIFORMES,Passeri
Brown Creeper,Certhia americana,Passeriformes,Certhiidae (Treecreepers),Certhia_americana,BL3,M1,Certhiidae,Treecreepers,174,PASSERIFORMES,Passeri
Eastern Screech-Owl,Megascops asio,Strigiformes,Strigidae (Owls),Megascops_asio,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Eastern Wood-Pewee,Contopus virens,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus_virens,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Eurasian Collared-Dove,Streptopelia decaocto,Columbiformes,Columbidae (Pigeons and Doves),Streptopelia_decaocto,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
European Starling,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Sturnus_vulgaris,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri
Gray Catbird,Dumetella carolinensis,Passeriformes,Mimidae (Mockingbirds and Thrashers),Dumetella_carolinensis,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Tricolored Heron,Egretta tricolor,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta_tricolor,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Yellow-crowned Night-Heron,Nyctanassa violacea,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Nyctanassa_violacea,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Bank Swallow,Riparia riparia,Passeriformes,Hirundinidae (Swallows),Riparia_riparia,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Clay-colored Sparrow,Spizella pallida,Passeriformes,Passerellidae (New World Sparrows),Spizella_pallida,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Eared Grebe,Podiceps nigricollis,Podicipediformes,Podicipedidae (Grebes),Podiceps_nigricollis,BL3,Podicipedidae,Podicipedidae,Grebes,21,PODICIPEDIFORMES,NONPASSERIFORMES
Gray-cheeked Thrush,Catharus minimus,Passeriformes,Turdidae (Thrushes and Allies),Catharus_minimus,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Green-winged Teal,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_crecca,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Ring-necked Pheasant,Phasianus colchicus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Phasianus_colchicus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
California Scrub-Jay,Aphelocoma californica,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Aphelocoma_californica,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Northwestern Crow,Corvus caurinus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_caurinus,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Mexican Violetear,Colibri thalassinus,Caprimulgiformes,Trochilidae (Hummingbirds),Colibri_thalassinus,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Swallow-tailed Kite,Elanoides forficatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Elanoides_forficatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
American Golden-Plover,Pluvialis dominica,Charadriiformes,Charadriidae (Plovers and Lapwings),Pluvialis_dominica,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Black-bellied Plover,Pluvialis squatarola,Charadriiformes,Charadriidae (Plovers and Lapwings),Pluvialis_squatarola,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Purple Gallinule,Porphyrio martinica,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Porphyrio_martinica,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Common Ground-Dove,Columbina passerina,Columbiformes,Columbidae (Pigeons and Doves),Columbina_passerina,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Western Wood-Pewee,Contopus sordidulus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus_sordidulus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Black Swift,Cypseloides niger,Caprimulgiformes,Apodidae (Swifts),Cypseloides_niger,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES
Canada Jay,Perisoreus canadensis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Perisoreus_canadensis,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_anser,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Pacific Golden-Plover,Pluvialis fulva,Charadriiformes,Charadriidae (Plovers and Lapwings),Pluvialis_fulva,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Tricolored Blackbird,Agelaius tricolor,Passeriformes,Icteridae (Troupials and Allies),Agelaius_tricolor,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Western Screech-Owl,Megascops kennicottii,Strigiformes,Strigidae (Owls),Megascops_kennicottii,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Black Rosy-Finch,Leucosticte atrata,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Leucosticte_atrata,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_bernicla,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Brown-capped Rosy-Finch,Leucosticte australis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Leucosticte_australis,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Common Black Hawk,Buteogallus anthracinus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteogallus_anthracinus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Dusky Flycatcher,Empidonax oberholseri,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_oberholseri,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Leucosticte_tephrocotis,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Gray Flycatcher,Empidonax wrightii,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_wrightii,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Gray Vireo,Vireo vicinior,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_vicinior,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Northern Pygmy-Owl,Glaucidium gnoma,Strigiformes,Strigidae (Owls),Glaucidium_gnoma,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Rivoli's Hummingbird,Eugenes fulgens,Caprimulgiformes,Trochilidae (Hummingbirds),Eugenes_fulgens,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Gray Partridge,Perdix perdix,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Perdix_perdix,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_bicolor,BL3,Dendrocygninae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Gray Kingbird,Tyrannus dominicensis,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_dominicensis,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Yellow-throated Woodland-Warbler,Phylloscopus ruficapilla,Passeriformes,Phylloscopidae (Leaf Warblers),Phylloscopus_ruficapilla,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri
Northern Red Bishop,Euplectes franciscanus,Passeriformes,Ploceidae (Weavers and Allies),Euplectes_franciscanus,BL3,P6,Ploceidae,Weavers and allies,184,PASSERIFORMES,Passeri
Lilac-crowned Parrot,Amazona finschi,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_finschi,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Red-flanked Bluetail,Tarsiger cyanurus,Passeriformes,Muscicapidae (Old World Flycatchers),Tarsiger_cyanurus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri
Northern Beardless-Tyrannulet,Camptostoma imberbe,Passeriformes,Tyrannidae (Tyrant Flycatchers),Camptostoma_imberbe,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Florida Scrub-Jay,Aphelocoma coerulescens,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Aphelocoma_coerulescens,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Yellow-headed Parrot,Amazona oratrix,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_oratrix,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
African Collared-Dove,Streptopelia roseogrisea,Columbiformes,Columbidae (Pigeons and Doves),Streptopelia_roseogrisea,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Ruddy Ground-Dove,Columbina talpacoti,Columbiformes,Columbidae (Pigeons and Doves),Columbina_talpacoti,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Clay-colored Thrush,Turdus grayi,Passeriformes,Turdidae (Thrushes and Allies),Turdus_grayi,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Red-crowned Parrot,Amazona viridigenalis,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_viridigenalis,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Red-lored Parrot,Amazona autumnalis,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_autumnalis,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
White-fronted Parrot,Amazona albifrons,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_albifrons,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Yellow-crowned Parrot,Amazona ochrocephala,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_ochrocephala,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Yellow-lored Parrot,Amazona xantholora,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_xantholora,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Giant Wood-Rail,Aramides ypecaha,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Aramides_ypecaha,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Greater Sage-Grouse,Centrocercus urophasianus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Centrocercus_urophasianus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Common Scoter,Melanitta nigra,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_nigra,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
LeConte's Thrasher,Toxostoma lecontei,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_lecontei,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_viduata,BL3,Dendrocygninae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Greater Prairie-Chicken,Tympanuchus cupido,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Tympanuchus_cupido,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Tricolored Munia,Lonchura malacca,Passeriformes,Estrildidae (Waxbills and Allies),Lonchura_malacca,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Struthio_camelus,BL3,Paleognathae,Struthionidae,Ostriches,2,STRUTHIONIFORMES,NONPASSERIFORMES
Common Hill Myna,Gracula religiosa,Passeriformes,Sturnidae (Starlings),Gracula_religiosa,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri
Bare-throated Tiger-Heron,Tigrisoma mexicanum,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Tigrisoma_mexicanum,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Ferruginous Pygmy-Owl,Glaucidium brasilianum,Strigiformes,Strigidae (Owls),Glaucidium_brasilianum,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Gray-crowned Yellowthroat,Geothlypis poliocephala,Passeriformes,Parulidae (New World Warblers),Geothlypis_poliocephala,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Cuban Pewee,Contopus caribaeus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus_caribaeus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Great Black Hawk,Buteogallus urubitinga,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteogallus_urubitinga,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Key West Quail-Dove,Geotrygon chrysia,Columbiformes,Columbidae (Pigeons and Doves),Geotrygon_chrysia,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_javanica,BL3,Dendrocygninae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Mealy Parrot,Amazona farinosa,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_farinosa,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Orange-winged Parrot,Amazona amazonica,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_amazonica,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_eytoni,BL3,Dendrocygninae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Ruddy Quail-Dove,Geotrygon montana,Columbiformes,Columbidae (Pigeons and Doves),Geotrygon_montana,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Turquoise-fronted Parrot,Amazona aestiva,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_aestiva,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Yellow-naped Parrot,Amazona auropalliata,Psittaciformes,Psittacidae (New World and African Parrots),Amazona_auropalliata,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Black-billed Cuckoo-Dove,Macropygia nigrirostris,Columbiformes,Columbidae (Pigeons and Doves),Macropygia_nigrirostris,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Red-browed Firetail,Neochmia temporalis,Passeriformes,Estrildidae (Waxbills and Allies),Neochmia_temporalis,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Lesser Sand-Plover,Charadrius mongolus,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius_mongolus,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
European Turtle-Dove,Streptopelia turtur,Columbiformes,Columbidae (Pigeons and Doves),Streptopelia_turtur,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
