COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Gray Hawk,Buteo plagiatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_nitidus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Ridgway's Rail,Rallus obsoletus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus_longirostris,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Russet-naped Wood-Rail,Aramides albiventris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Aramides_cajanea,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Eastern Yellow Wagtail,Motacilla tschutschensis,Passeriformes,Motacillidae (Wagtails and Pipits),Motacilla_flava,BL3,P9,Motacillidae,Wagtails and pipits,170,PASSERIFORMES,Passeri
Morelet's Seedeater,Sporophila morelleti,Passeriformes,Thraupidae (Tanagers and Allies),Sporophila_torqueola,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Bronze Mannikin,Spermestes cucullata,Passeriformes,Estrildidae (Waxbills and Allies),Lonchura_cucullata,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Indian Silverbill,Euodice malabarica,Passeriformes,Estrildidae (Waxbills and Allies),Lonchura_malabarica,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Magpie Mannikin,Spermestes fringilloides,Passeriformes,Estrildidae (Waxbills and Allies),Lonchura_fringilloides,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Western Red-billed Hornbill,Tockus kempi,Bucerotiformes,Bucerotidae (Hornbills),Tockus_erythrorhynchus,BL3,Bucerotidae,Bucerotidae,Hornbills,91,BUCEROTIFORMES,NONPASSERIFORMES
Black-capped Catbird,Ailuroedus melanocephalus,Passeriformes,Ptilonorhynchidae (Bowerbirds),Ailuroedus_melanotis,BL3,BC2,Ptilonorhynchidae,Bowerbirds,114,PASSERIFORMES,Passeri
Black-and-white Mannikin,Spermestes bicolor,Passeriformes,Estrildidae (Waxbills and Allies),Lonchura_bicolor,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Cassia Crossbill,Loxia sinesciuris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Loxia_curvirostra,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
