city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Colfax_WA,Washington,46.9032,-117.3386,2806,274.5874262,29,9,3.376235,No
Poteet_TX,Texas,29.0382,-98.5737,3380,132.2884779,69,12,3.378053,No
Chaffee_MO,Missouri,37.1812,-89.6615,2966,740.156665,0,0,3.380744,No
Kewaunee_WI,Wisconsin,44.4607,-87.5133,2548,792.7882451,240,1932,3.386877,Yes
Windsor_MO,Missouri,38.5319,-93.5227,2474,894.6844812,3,1,3.388009,No
Hardin_MT,Montana,45.7423,-107.6082,3947,885.1245142,19,7,3.390383,No
Ellsworth_KS,Kansas,38.7327,-98.2285,2912,975.9740045,116,50,3.393603,Yes
Hollandale_MS,Mississippi,33.1761,-90.8529,2413,308.2516961,0,0,3.39503,No
Pawnee_IL,Illinois,39.5936,-89.5825,2820,875.7468279,33,6,3.396957,No
Melrose_MN,Minnesota,45.6758,-94.8132,3132,1233.338629,116,171,3.401808,Yes
Henrietta_TX,Texas,33.8147,-98.1925,2572,473.7460917,68,115,3.406368,Yes
Lakeview_OR,Oregon,42.1914,-120.3522,2929,224.920849,151,144,3.418061,Yes
Fairmount_IN,Indiana,40.4172,-85.6477,2793,624.5662108,11,2,3.421274,No
Avalon_CA,California,33.3338,-118.3317,3690,1.802237817,105,154,3.43513,Yes
Enfield_NC,North Carolina,36.1802,-77.6678,2531,74.71736608,16,1,3.435501,No
Alderson_WV,West Virginia,37.7277,-80.6436,2607,272.8318685,42,9,3.441619,No
Crane_TX,Texas,31.3919,-102.3503,4338,477.794396,50,16,3.459957,No
Poplar_MT,Montana,48.1106,-105.1971,2891,1176.631537,0,0,3.474027,No
Ruleville_MS,Mississippi,33.7246,-90.55,2718,352.1236083,0,0,3.47799,No
Missouri Valley_IA,Iowa,41.5574,-95.9028,2644,1232.659886,28,16,3.48753,No
Arcola_IL,Illinois,39.6834,-88.3012,2822,825.7098983,64,58,3.49269,Yes
Hebron_IN,Indiana,41.325,-87.2024,3507,727.9276036,9,3,3.501836,No
Tea_SD,South Dakota,43.4515,-96.8346,5002,1398.35026,8,2,3.51103,No
Friona_TX,Texas,34.6394,-102.7232,3881,690.6111522,66,16,3.512243,No
Norton_KS,Kansas,39.8363,-99.8916,2778,1109.253812,22,4,3.513072,No
Hominy_OK,Oklahoma,36.422,-96.3929,3424,722.0704084,0,0,3.522211,No
Emporium_PA,Pennsylvania,41.5102,-78.2363,2468,226.1766914,62,22,3.532998,No
Two Harbors_MN,Minnesota,47.0301,-91.6749,3413,1090.042381,215,1014,3.534966,Yes
Kane_PA,Pennsylvania,41.663,-78.8096,3586,255.4305865,53,14,3.535587,No
Gooding_ID,Idaho,42.9373,-114.7133,3651,496.2678783,3,1,3.54051,No
Beulah_ND,North Dakota,47.2672,-101.7738,3189,1377.230586,0,0,3.541607,No
Oak Harbor_OH,Ohio,41.5123,-83.143,2771,454.0280286,146,158,3.543945,Yes
Rushville_IL,Illinois,40.1199,-90.5666,2924,948.5938432,0,0,3.544209,No
Delhi_NY,New York,42.2786,-74.915,3000,109.2910114,78,28,3.545831,No
Staples_MN,Minnesota,46.369,-94.8016,2712,1238.993886,79,19,3.545857,No
Waterloo_WI,Wisconsin,43.1835,-88.99,3058,849.8951676,66,62,3.563667,Yes
Eagle Grove_IA,Iowa,42.6667,-93.9026,2942,1206.735562,0,0,3.578846,No
Walton_NY,New York,42.1688,-75.1304,2874,105.8079626,38,15,3.583152,No
Sayre_OK,Oklahoma,35.2974,-99.6283,4251,645.9535368,49,16,3.596707,No
Middletown_IN,Indiana,40.0596,-85.5422,2451,623.9646311,0,0,3.609076,No
Petersburg_WV,West Virginia,38.9957,-79.1276,2654,134.7118835,86,50,3.621013,Yes
McConnelsville_OH,Ohio,39.6567,-81.8466,2677,339.6096317,60,10,3.624775,No
Almont_MI,Michigan,42.9206,-83.0429,2811,508.4998879,37,9,3.625768,No
Rogers City_MI,Michigan,45.415,-83.8182,2440,692.5642216,109,89,3.636102,Yes
Harrisburg_SD,South Dakota,43.4317,-96.7033,4305,1392.125579,15,2,3.63726,No
Marshall_WI,Wisconsin,43.1726,-89.0614,3909,854.4105431,71,30,3.640009,No
Las Animas_CO,Colorado,38.0695,-103.2236,3692,976.5143799,67,31,3.643088,No
Tipton_IA,Iowa,41.7697,-91.1283,3063,1019.113863,7,2,3.653208,No
Minden_NE,Nebraska,40.498,-98.9675,2963,1161.450703,33,12,3.660595,No
Winamac_IN,Indiana,41.0535,-86.6037,2422,686.5817053,5,1,3.661066,No
Lodi_WI,Wisconsin,43.3153,-89.5378,3023,886.4344507,64,20,3.683847,No
Mangum_OK,Oklahoma,34.8783,-99.504,2815,601.8027522,17,4,3.687881,No
Neodesha_KS,Kansas,37.4242,-95.6849,2397,812.399577,44,19,3.690107,No
American Falls_ID,Idaho,42.7826,-112.8543,4341,572.9394733,134,76,3.70357,Yes
Tahoka_TX,Texas,33.164,-101.7949,2453,557.1677921,55,32,3.716975,No
Carey_OH,Ohio,40.95,-83.3836,3485,454.829951,26,5,3.724576,No
Dayton_WA,Washington,46.3171,-117.9768,2576,230.456524,96,64,3.725808,Yes
Bishop_TX,Texas,27.5851,-97.7977,3116,14.29085579,194,161,3.72891,Yes
Shelby_MT,Montana,48.5034,-111.8614,2892,742.9919499,120,218,3.733106,Yes
Abingdon_IL,Illinois,40.8039,-90.4009,3215,983.263595,0,0,3.739679,No
Clarion_IA,Iowa,42.7322,-93.7294,2560,1191.726397,39,6,3.744029,No
Portola_CA,California,39.8241,-120.4732,2301,231.4641602,98,62,3.746093,Yes
Woodbury_TN,Tennessee,35.8246,-86.0725,2698,472.9021706,56,78,3.755262,Yes
Deer Lodge_MT,Montana,46.3977,-112.7329,3095,553.7518157,121,200,3.755924,Yes
Firebaugh_CA,California,36.8533,-120.4536,8015,109.0186311,60,7,3.757148,No
Refugio_TX,Texas,28.3073,-97.275,2888,16.7329358,230,1002,3.76545,Yes
Dell Rapids_SD,South Dakota,43.8252,-96.7152,3654,1384.776111,22,8,3.765646,No
Pulaski_WI,Wisconsin,44.6684,-88.2354,3368,837.4066917,11,2,3.778134,No
Story City_IA,Iowa,42.1866,-93.5866,3291,1196.783763,45,11,3.785673,No
Holton_KS,Kansas,39.47,-95.7319,3202,1009.273758,82,21,3.794075,No
Harrisburg_OR,Oregon,44.2719,-123.1657,3827,48.65678589,77,88,3.794802,Yes
Murfreesboro_NC,North Carolina,36.4421,-77.0965,2971,29.04396956,71,66,3.797319,Yes
Huron_CA,California,36.204,-120.0961,6941,117.3635643,0,0,3.797592,No
Fairbury_IL,Illinois,40.7461,-88.5161,3628,840.4524798,6,1,3.805388,No
Durant_MS,Mississippi,33.0799,-89.8566,2296,274.7062472,24,2,3.806313,No
Bushnell_IL,Illinois,40.5518,-90.5045,2875,978.0070168,10,4,3.807535,No
Mount Sterling_IL,Illinois,39.9854,-90.7641,3911,946.2925979,8,2,3.81444,No
Lodi_OH,Ohio,41.0348,-82.0122,2742,371.9191936,18,4,3.819672,No
Eureka_KS,Kansas,37.8261,-96.2888,2371,859.8842538,26,2,3.82381,No
Burlington_CO,Colorado,39.3045,-102.2714,4173,1077.740257,107,88,3.830534,Yes
Kemmerer_WY,Wyoming,41.7761,-110.5555,3261,718.7751613,55,14,3.831164,No
Wrightstown_WI,Wisconsin,44.326,-88.1756,2992,823.9801664,75,63,3.833295,Yes
Girard_KS,Kansas,37.5092,-94.8458,2510,804.2678209,12,2,3.839874,No
Evarts_KY,Kentucky,36.8645,-83.1927,2299,416.5697039,0,0,3.859449,No
Tonkawa_OK,Oklahoma,36.6788,-97.3281,3023,769.1215792,50,6,3.860358,No
Canadian_TX,Texas,35.9097,-100.3839,3060,719.6181238,66,18,3.863429,No
Lindsborg_KS,Kansas,38.5766,-97.6744,3287,952.3701392,54,19,3.867721,No
Sleepy Eye_MN,Minnesota,44.2991,-94.7244,3330,1232.640488,62,11,3.869239,No
Carlisle_IA,Iowa,41.5115,-93.4949,4350,1151.587666,0,0,3.871138,No
Prairie Grove_AR,Arkansas,35.9858,-94.3048,3921,647.6045347,66,32,3.88184,No
Newberry_MI,Michigan,46.3538,-85.5098,3082,781.5888226,75,38,3.882789,No
McLeansboro_IL,Illinois,38.0894,-88.5358,2567,728.8975597,36,6,3.884221,No
Horicon_WI,Wisconsin,43.4448,-88.638,3494,831.3238562,144,109,3.885997,Yes
England_AR,Arkansas,34.546,-91.969,2692,462.6575102,27,5,3.891501,No
Eaton_CO,Colorado,40.5251,-104.7133,5117,1062.905621,24,7,3.898853,No
Yerington_NV,Nevada,38.9928,-119.1631,3001,304.5316225,43,10,3.908652,No
Marysville_KS,Kansas,39.8431,-96.6387,2937,1058.274583,35,6,3.912706,No
Scott City_KS,Kansas,38.4782,-100.9022,3718,979.6811434,44,19,3.913358,No
Rugby_ND,North Dakota,48.3665,-99.992,2764,1511.724523,117,27,3.91381,No
Orange Cove_CA,California,36.6211,-119.3188,10320,169.0293797,0,0,3.914157,No
Onawa_IA,Iowa,42.0267,-96.0905,2547,1284.871405,22,8,3.915254,No
West Point_NE,Nebraska,41.8378,-96.7061,3144,1264.266301,99,45,3.927264,No
Mercer_PA,Pennsylvania,41.2265,-80.2358,3664,287.256199,26,4,3.935434,No
Taft_TX,Texas,27.9801,-97.3911,4365,11.89998922,11,2,3.938396,No
New Hampton_IA,Iowa,43.0572,-92.3164,3156,1079.761475,10,4,3.942484,No
White Sulphur Springs_WV,West Virginia,37.7962,-80.3016,2648,241.3645117,65,26,3.95911,No
Spearman_TX,Texas,36.1984,-101.1943,3317,760.645707,19,3,3.966314,No
Bethany_MO,Missouri,40.2684,-94.0281,2515,1091.354834,20,9,3.968748,No
Yuma_CO,Colorado,40.1239,-102.7164,3581,1165.993977,93,44,3.970005,No
Portageville_MO,Missouri,36.4295,-89.6994,3034,678.0759787,30,7,3.985452,No
Cache_OK,Oklahoma,34.6297,-98.6181,2652,559.6852056,40,3,3.986913,No
Grangeville_ID,Idaho,45.926,-116.1218,3147,333.802893,45,12,3.98739,No
Brownstown_IN,Indiana,38.8791,-86.0466,3127,674.4747424,37,11,3.993273,No
Severance_CO,Colorado,40.5339,-104.8627,3392,1054.578179,110,61,3.996781,Yes
Curwensville_PA,Pennsylvania,40.9735,-78.5189,2658,195.3870319,106,123,3.997487,Yes
Dodge Center_MN,Minnesota,44.0286,-92.8508,2673,1106.943356,16,5,3.999897,No
Hinton_WV,West Virginia,37.6651,-80.8828,2431,295.8959239,132,267,4.001189,Yes
Knightstown_IN,Indiana,39.796,-85.5312,2828,624.7911295,62,21,4.004807,No
Boscobel_WI,Wisconsin,43.1431,-90.6965,3178,964.0292432,85,18,4.009049,No
Cleveland_OK,Oklahoma,36.3002,-96.463,3100,712.7039275,57,9,4.020995,No
Shallowater_TX,Texas,33.6899,-101.9892,3310,603.1316795,24,5,4.021536,No
Wewoka_OK,Oklahoma,35.1441,-96.4967,3040,600.9633387,18,2,4.023673,No
Plainview_MN,Minnesota,44.1647,-92.1693,3228,1061.422097,6,2,4.0288,No
Oconto Falls_WI,Wisconsin,44.8739,-88.1442,2568,839.9132343,0,0,4.035994,No
Okemah_OK,Oklahoma,35.4297,-96.3005,3168,634.0515244,36,6,4.037519,No
Buhl_ID,Idaho,42.5984,-114.7596,4315,499.8901589,5,2,4.037573,No
Chatfield_MN,Minnesota,43.8443,-92.1826,2626,1062.648129,27,9,4.039189,No
Oakridge_OR,Oregon,43.745,-122.4638,3255,91.57306692,69,40,4.03944,No
Sheridan_IN,Indiana,40.1318,-86.2195,3094,674.0093921,10,2,4.039567,No
